Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:42:06,47.4,23.1,1912.23,63944.47
23:42:07,47.4,41.4,1914.2,63954.52
23:42:08,77.6,84.1,1914.21,63956.77
23:42:09,78,24.6,1914.21,63969.28
23:42:10,77.9,13,1914.21,63969.33
23:42:11,77.9,17,1914.21,63980.36
23:42:12,77.9,11.6,1914.21,63986.35
23:42:14,47.3,13.2,1914.21,63995.92
23:42:15,47.3,10.2,1914.22,63995.92
23:42:16,47.3,49.1,1914.22,63999.32
23:42:17,47.3,25,1914.22,64001.99
23:42:18,77.6,21,1914.22,64005.29
23:42:19,77.6,24.2,1914.22,64005.54
23:42:20,77.6,12,1914.23,64007.55
23:42:21,77.6,22.8,1914.23,64009.67
23:42:22,77.6,12.1,1914.23,64011.75
23:42:23,47.4,12.5,1914.23,64012.75
23:42:24,47.4,10.7,1914.24,64012.76
23:42:25,47.4,12.2,1914.24,64013.91
23:42:26,47.4,19.3,1914.24,64015
23:42:27,47.4,13.8,1914.24,64016.06
23:42:28,47.4,16.8,1914.24,64016.29
23:42:29,47.4,26.9,1914.24,64017.19
23:42:30,47.4,31.2,1914.24,64018.11
23:42:31,32.9,25.6,1914.89,64018.65
23:42:32,77.6,41.7,1914.27,64019.16
23:42:33,47.3,56.5,1914.43,64074.36
23:42:34,78,84.1,1914.45,64074.83
23:42:35,77.9,27.6,1914.5,64021.19
23:42:37,78,22.6,1914.51,64021.79
23:42:38,78,32.1,1914.51,64022.11
23:42:39,78,32.5,1914.51,64022.75
23:42:40,77.9,25.7,1914.51,64022.9
23:42:41,77.9,15.7,1914.51,64023.21
23:42:42,77.8,10.6,1914.51,64023.32
23:42:43,77.8,22.2,1914.51,64023.47
23:42:44,77.8,11.5,1914.52,64023.54
23:42:45,77.8,9.4,1914.52,64023.54
23:42:46,77.6,11.9,1914.52,64023.74
23:42:47,32.9,19.2,1914.52,64023.92
23:42:48,32.9,19.3,1914.55,64024.54
23:42:49,32.9,26.4,1914.55,64024.61
23:42:50,32.9,24.4,1914.56,64024.62
23:42:51,77.6,13.9,1914.56,64024.78
23:42:52,32.9,12.5,1914.56,64024.79
23:42:53,47.4,16.5,1914.56,64024.86
23:42:54,32.9,13,1914.56,64024.88
23:42:55,32.9,22.9,1914.58,64025.27
23:42:56,32.9,15,1914.58,64025.36
23:42:57,32.9,10.5,1914.58,64025.58
23:42:59,47.4,18.1,1914.58,64025.65
23:43:00,47.4,21.8,1914.58,64025.66
23:43:01,32.9,24.4,1914.58,64025.9
23:43:02,77.6,42.1,1914.58,64040.63
23:43:03,47.3,21.1,1914.58,64041.1
23:43:04,77.8,42,1914.6,64041.2
23:43:05,78.3,41.2,1914.62,64042.21
23:43:06,78.7,49,1914.63,64044.51
23:43:07,78.5,42.8,1914.63,64046.99
23:43:08,78.5,22.5,1914.63,64048.02
23:43:09,78.3,4.7,1914.63,64048.02
23:43:10,78.3,6.1,1914.64,64049.1
23:43:11,78.1,14.5,1914.64,64050.3
23:43:12,77.8,5.9,1914.65,64051.5
23:43:13,77.8,5.5,1914.65,64051.5
23:43:14,77.6,8.5,1914.66,64052.07
23:43:15,77.3,11.3,1914.66,64053.57
23:43:16,77.3,28.4,1914.67,64054.51
23:43:17,77.3,18.6,1914.69,64054.52
23:43:18,77.2,9.7,1914.71,64055.14
23:43:19,77.3,9.4,1914.71,64055.56
